(1e-10,-7.7555e+43)
(1.0101e+08,1.71842e+13)
(2.0202e+08,-2.78783e+13)
(3.0303e+08,-8.96209e+12)
(4.0404e+08,1.93346e+12)
(5.05051e+08,1.9495e+12)
(6.06061e+08,-1.7046e+12)
(7.07071e+08,-2.58387e+12)
(8.08081e+08,-1.27551e+12)
(9.09091e+08,3.44757e+11)
(1.0101e+09,-4.5297e+11)
(1.11111e+09,-1.03164e+12)
(1.21212e+09,-6.77337e+11)
(1.31313e+09,-7.62722e+11)
(1.41414e+09,4.66827e+11)
(1.51515e+09,1.17853e+11)
(1.61616e+09,-1.65761e+11)
(1.71717e+09,1.51242e+10)
(1.81818e+09,-3.01953e+11)
(1.91919e+09,2.0192e+11)
(2.0202e+09,-2.74936e+11)
(2.12121e+09,-2.81457e+11)
(2.22222e+09,1.68114e+11)
(2.32323e+09,-1.54169e+09)
(2.42424e+09,-3.27419e+10)
(2.52525e+09,1.22022e+11)
(2.62626e+09,1.32244e+11)
(2.72727e+09,2.29449e+10)
(2.82828e+09,1.04382e+11)
(2.92929e+09,-6.15952e+09)
(3.0303e+09,-1.0824e+11)
(3.13131e+09,-3.04055e+10)
(3.23232e+09,-1.08715e+11)
(3.33333e+09,-1.07422e+11)
(3.43434e+09,-1.05513e+11)
(3.53535e+09,-8.60764e+10)
(3.63636e+09,-1.27368e+10)
(3.73737e+09,-6.56465e+10)
(3.83838e+09,4.55795e+09)
(3.93939e+09,5.83638e+10)
(4.0404e+09,1.74006e+10)
(4.14141e+09,5.5167e+10)
(4.24242e+09,3.84655e+10)
(4.34343e+09,-1.79917e+10)
(4.44444e+09,2.58401e+10)
(4.54545e+09,-5.55947e+10)
(4.64646e+09,-6.06017e+10)
(4.74747e+09,-3.25688e+10)
(4.84848e+09,-5.67081e+10)
(4.94949e+09,-3.55017e+10)
(5.05051e+09,6.80073e+09)
(5.15152e+09,3.36511e+10)
(5.25253e+09,2.77456e+10)
(5.35354e+09,-1.75063e+10)
(5.45455e+09,-3.80641e+10)
(5.55556e+09,3.15102e+10)
(5.65657e+09,1.29626e+10)
(5.75758e+09,-1.78078e+10)
(5.85859e+09,-3.79541e+10)
(5.9596e+09,2.42003e+10)
(6.06061e+09,5.51486e+08)
(6.16162e+09,-2.52437e+10)
(6.26263e+09,-3.24161e+10)
(6.36364e+09,-1.65793e+10)
(6.46465e+09,9.9736e+09)
(6.56566e+09,-2.86831e+10)
(6.66667e+09,1.22909e+10)
(6.76768e+09,-1.05113e+10)
(6.86869e+09,1.55145e+10)
(6.9697e+09,-2.34351e+10)
(7.07071e+09,2.98712e+09)
(7.17172e+09,-1.74688e+10)
(7.27273e+09,-2.44188e+10)
(7.37374e+09,-1.42518e+10)
(7.47475e+09,-5.31439e+09)
(7.57576e+09,1.71415e+10)
(7.67677e+09,-2.01566e+10)
(7.77778e+09,-5.79215e+09)
(7.87879e+09,1.00711e+10)
(7.9798e+09,1.50303e+10)
(8.08081e+09,-1.41776e+10)
(8.18182e+09,-1.14231e+10)
(8.28283e+09,1.30435e+10)
(8.38384e+09,1.12671e+10)
(8.48485e+09,-1.2242e+09)
(8.58586e+09,-1.50107e+10)
(8.68687e+09,-1.71457e+10)
(8.78788e+09,6.18279e+09)
(8.88889e+09,-7.09192e+09)
(8.9899e+09,1.20858e+10)
(9.09091e+09,5.77789e+09)
(9.19192e+09,-5.52078e+08)
(9.29293e+09,9.84825e+09)
(9.39394e+09,-1.44625e+10)
(9.49495e+09,-7.49201e+09)
(9.59596e+09,8.90252e+09)
(9.69697e+09,1.03097e+10)
(9.79798e+09,6.2252e+09)
(9.89899e+09,-4.11347e+09)
(1e+10,-1.20656e+10)
